Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
c2_K16O5MLF97,I tried to start with weighing a to b and moving down the alphabet and then placed them in order. I messed up and went backwards at first and got some wrong. it was not the most efficient way but I dont know a better way so I went with it.,I tried comparing them alphabetically and used process of elimination to try to see which was heavier.,I really did not learn much from the blue star or the purple diamond for how they actually did their job so I did the best I could.,strategy 2 is closer to what I used
c2_Pi781L4Z9J,"I compared the first two unordered fruits in the line. Then put them in order below the pile. Then I compared the next unordered fruit in line to one of the ordered fruits. I tried to compare the new fruits to fruits that were in the middle of my ordered fruits, but since it was timed I also went with whatever was fastest to input. Then at the end I usually double checked my answers weighing all the fruits in line.",I used the same approach. I compared the first two unordered fruits and then put them in order below the pile. Then I would figure out where the next fruit went compared to my other ordered fruits. I tried to compare the unordered fruit with fruits in the middle of my ordered fruits to go faster. ,I don't think I used any techniques from blue star. ,I think it would be strategy 2 because I weighed individual unordered fruits in comparison to my list of ordered fruits. 
c2_R9Y4527jBg,At first I was comparing to the heaviest but that took too long and I ran out of time so then I started comparing to the lightest weight and that was much faster.,"I never changed my approach after choosing to compare to the lowest, it seemed the quickest way no matter the number.",I didn't use any from the first time since it didn't seem to apply,I didn't use that because I didn't think it would help me when they were placed randomly
c2_T2J895NzG1,"I started by separating the sort and focusing on the edges and skipping some to find by approximation","I started by separating the sort and focusing on the edges and skipping some to find by approximation","I always tried to focus on the ends",Strategy 2
c2_TR05m6q1n9,I took each fruit and weighed them all until I found the smallest one and used that one to start and then found each weight going from lightest to heaviest.,I used the same approach and tried to find the lightest one first and then compared them all until I was going in what I hoped was lightest to heaviest. Once I thought I had them in the correct order I reweighed them all to determine if I had them in the right order. Often this took me a longer time and consisted in using more moves,I don't really think I used any information learned from the blue star to arrange fruits with the purple diamond. I used the same approach for trying to find the correct order for all parts.,I am not sure that I used either of these by itself but maybe more of a combination of both strategies but more so what I thought was easiest and working better for myself in arranging the fruit.
c2_dv657M12WZ,I arranged them by using the scale and arranging by increasing weights from left to right.,The same approach I went from left to right weighing each apple against the next until I made it to the end.,"I did not use the Blue star operator information with the purple diamond part, I assumed they were unrelated.",Strategy 1 I suppose but I didn't use this information in the purple diamond section.
c2_p9r8f1XG53,I DEVIDE FRUITS INTO SEVERAL GROUPS THEN COMPARE THEM WITHIN THE GROUP THEN COMPARE THE MIDDLE RANKING FRUITS GROUP TO GROUP TO COME TO THE FINAL RANKING,"I DEVIDE THEM INTO MORE GROUPS, THEN COMPARE THEM WITNIN GROUPS, THEN COMPARE TOP AND LAST OF EACH GROUP, THEN COMPARE THOSE IN THE MIDDLE TO COMPE UP WITH THE FINAL RANKING",I DIDN'T USE INFORMATION FROM THE BLUE STAR OPERATOR,"MORE LIKELY LIKE THE SECOND ONE, COMPARE THEM BY GROUPS THEN COMPARE BETWEEN GROUPS "
c2_w7ip9U3N40,"I was trying to compare all of the weights to get an idea of how to arrange them. Then I would order them accordingly, and fine tune the results. I'm not sure I did too well. ","Trying to compare as much as possible. Getting a general order, then fine tuning it. ","I really messed this one up. I tried to compare weight to arrange them. But I think I started at the wrong place each time. Had, I not, my idea would have probably worked. ",Probably strategy 2. 
c2_w8Z29F6d3o,I had no idea what I was doing.  I pretty much guessed at EVERYTHING.,I had no idea what I was doing.  I pretty much guessed at EVERYTHING.  Although I think I was getting the hang of it towards the end.,I didn't learn anything.  I was totally confused throughout the whole ordeal.  ,Strategy 1
c2_xIJu016n87,I would weigh the first two and then one by one compare the weights with others in the list.,I did it the same way except I would compare the new fruits to the middle weighing fruits and work from there.,I did not use what I learned from the Blue Operator.,I did not use Blue Star.
