Has CS degree,Has learned sort alg,Used sort alg,Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
NO,NO,I don't know any of these algorithms and therefore did not use them in the experiment.,i weighed each letter against each other and went through each letter to make sure each was in the correct place based on the weight.,i used the same strategy throughout the entire process.,i used the same strategy throughout the entire process. i would weigh each piece of fruit to really be sure about which order they should be in.
NO,NO,I don't know any of those.,i think it should start weighing many pairs until it finds the solution.,i don't think there is a different approach.,"i am not sure, i would compare a and f and then decide."
NO,NO,i dont know any algos,weight em left to right.. moving the ones that are out of order until they seem to be right,same approach. start on the left.. weight each pair until finding one out of order.. move em and continue,i was so confused that i just weighed and went. i dont understand how i was supposed to use what i learned
NO,NO,NONE,first arrange the small fruits and fill the diamond,arrange the large first and then fill the small ,it is easy to arrange the fruits and it depends on weight
NO,NO,I do not know any sorting algorithms. I only used what information was in the task.,"i would start with the first and second letters, find which is greater, then compare the other letters to those two letters and the ones in between those.","i would start with the first two letters and compare those, then find a letter in the center and use that one to compare as well. i would compare three numbers and then work my way outwards.",i would compare the first two letters from each group and then compare the first one in each group to the last one in each group.
NO,NO,No,i'd start with one fruit a and compare it to each of the others finding whether it was greater or larger and then keep comparing it until i knew which were heavier and lighter and then start comparing each of those heavier and lighter to one another finding the order slowly eliminating each one once i know it was heavier or lighter than all the others.,i again test one against another finding one that is consistently lighter or heavier and match it against every other one to get the heaviest or lightest fruit and slowly measure each one against the others eliminating them once i know how it relates to each of the others.,i started measuring the heaviest fruit in the first box against the lightest fruit in the second box to determine where the heaviest fruit fit into the other box and then order the fruit from there.
NO,NO,I Don't know any of them and have not used them before.,since the blue star had two sets i needed to find the breaking point on the purple diamond and decide which group was the one that was lighter and which was heavier. i'm afraid i got confused on the order however and i might have gotten them backwards.,it would have been the same approach i just needed to find the point where the two groups split and which one was the lighter group.,i did use the blue star by finding the breaking point on the purple diamond i was able to order them using the blue star method.
NO,NO,I am not familiar with any and did not use any,"i just kept comparing fruits to the middle fruit first, and placing them one by one.  i learned a method one time that seemed super easy, but could never duplicate it.","i used the same process as the previous question.  one by one, placing as i went. i didn't notice  difference.  (i feel a bit clueless)","i can't really remember what i learned from the blue star, except that it was easier.  i could not translate that to the purple diamond."
NO,NO,None of the above (at least not that I know by name),"i attempt to find the smallest and largest weight first, then try to establish a middle weight and divide the rest around that weight. so i try to establish two piles - small and large - and arrange those piles.","i do not try to find the smallest and largest first - instead, i try as quickly as possible to find a middle, and arrange around it so that i have a small and large pile and can arrange those two piles by weight.",i did not determine a way that the blue star operator helped with the purple diamond (something tells me it would have been easier if i had).
NO,NO,I have not studied any algorithms,i compared each and every letter with the other to attain the result.,same as before i compared each and every fruit with other letter fruit.,compare all the fruits with each other to attian the result.
