Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
c3_7E01lj39Kg,I weighed each letter against each other and went through each letter to make sure each was in the correct place based on the weight.,I used the same strategy throughout the entire process.,I used the same strategy throughout the entire process. I would weigh each piece of fruit to really be sure about which order they should be in.,I used a strategy similar to strategy 2 and it worked very well throughout the whole experiment.
c3_7K34I26GvD,I think it should start weighing many pairs until it finds the solution.,I don't think there is a different approach.,"I am not sure, I would compare A and F and then decide.",I don't think I understand these strategies.
c3_Hn28XIP453,wEIGHT EM LEFT TO RIGHT.. MOVING THE ONES THAT ARE OUT OF ORDER UNTIL THEY SEEM TO BE RIGHT,sAME APPROACH. sTART ON THE LEFT.. WEIGHT EACH PAIR UNTIL FINDING ONE OUT OF ORDER.. MOVE EM AND CONTINUE,i WAS SO CONFUSED THAT i JUST WEIGHED AND WENT. i DONT UNDERSTAND HOW i WAS SUPPOSED TO USE WHAT i LEARNED,I didnt have any idea how to do this. I was just weighing and hoping I was getting it right
c3_Hrk547Y9O8,FIRST ARRANGE THE SMALL FRUITS AND FILL THE DIAMOND,ARRANGE THE LARGE FIRST AND THEN FILL THE SMALL ,IT IS EASY TO ARRANGE THE FRUITS AND IT DEPENDS ON WEIGHT,STRATEGY 1 IS VERY CLOSE TO THE BLUE STAR AND IT IS VERY FAST FILLTHE FRUITS.
c3_Jrtg9L1746,"I would start with the first and second letters, find which is greater, then compare the other letters to those two letters and the ones in between those.","I would start with the first two letters and compare those, then find a letter in the center and use that one to compare as well. I would compare three numbers and then work my way outwards.",I would compare the first two letters from each group and then compare the first one in each group to the last one in each group.,Strategy one is closest to the one that I used.
c3_T1857UOf0Q,I'd start with one fruit A and compare it to each of the others finding whether it was greater or larger and then keep comparing it until I knew which were heavier and lighter and then start comparing each of those heavier and lighter to one another finding the order slowly eliminating each one once I know it was heavier or lighter than all the others.,I again test one against another finding one that is consistently lighter or heavier and match it against every other one to get the heaviest or lightest fruit and slowly measure each one against the others eliminating them once I know how it relates to each of the others.,I started measuring the heaviest fruit in the first box against the lightest fruit in the second box to determine where the heaviest fruit fit into the other box and then order the fruit from there.,Strategy 2 is closer to how I worked trying to compare each fruit to be sure of it's placement.
c3_bx2KfC5760,Since the blue star had two sets I needed to find the breaking point on the purple diamond and decide which group was the one that was lighter and which was heavier. I'm afraid I got confused on the order however and I might have gotten them backwards.,It would have been the same approach I just needed to find the point where the two groups split and which one was the lighter group.,I did use the blue star by finding the breaking point on the purple diamond I was able to order them using the blue star method.,Strategy 1
c3_gl204m5h6x,"I just kept comparing fruits to the middle fruit first, and placing them one by one.  I learned a method one time that seemed super easy, but could never duplicate it.","I used the same process as the previous question.  One by one, placing as I went. I didn't notice  difference.  (I feel a bit clueless)","I can't really remember what I learned from the blue star, except that it was easier.  I could not translate that to the purple diamond.",I would say straegy 2
c3_uL1X7j9H56,"I attempt to find the smallest and largest weight first, then try to establish a middle weight and divide the rest around that weight. So I try to establish two piles - small and large - and arrange those piles.","I do not try to find the smallest and largest first - instead, I try as quickly as possible to find a middle, and arrange around it so that I have a small and large pile and can arrange those two piles by weight.",I did not determine a way that the blue star operator helped with the purple diamond (something tells me it would have been easier if I had).,N/A - I did not determine a way to apply the blue star knowledge to the purple diamond operator.
c3_z3978lGT0B,I compared each and every letter with the other to attain the result.,same as before I compared each and every fruit with other letter fruit.,compare all the fruits with each other to attian the result.,I compared each pairs individually and compared with both pairs of each fruit to get the results.
