Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
c1_S1945Oafk3,"I tried to do if then statements, which didn't work too well.  I put the first heavy on one end and then the same with the lighter ones.","I didn't understand how to do that, so I tried my own method.",I again grouped them my lightest to heaviest and then just skipped over each time.,I didn't understand all of that...the time was really limited.
c1_V95g72f1Hn,"I compared the weights starting from A and continued in alphabetical order until I found one lower in weight. At that point, I continued with the lower weighted fruit and repeated the process. ","I used a similar approach. I started with the letter A and continued in alphabetical order, replacing the letter being compared whenever I found a lower weight.",I did not learn any useful information to use when arranging fuits with the purple diamond.,Strategy 2 looks to be the closest to the strategy that I used.
c1_Z175kNVW63,"I strictly used the scales to figure it out, I didn't really pay attention to the letter patterns.  I would start this one by comparing A and D, then just go down the row popping fruit letters in and seeing where they fit.","For larger piles I would go in order down the line, but as my comparisons got more, i would start sort of in the middle of the fruits instead of at the end to try to keep guesses down.","I didn't use any information from the star to the diamond, the star one I felt like I didn't do well on and just guessed",I did not use information from one strategy to the next
c1_Z85f2ij30o,I tried to accomodate the first few letters and then the rest usually followed.,"I did the same as with the smaller piles, I would start with the first letter and kept on going until there was a order established.",I did not use much of the blue star operator for the purple diamond because I noticed that the first group of letters were not in a established order like the ones in the blue star therefore I decided to use my own way.,Strategy 2 is closest to my application of the blue star for the purple diamond. 
c1_d2V3X1O4C7,"Compare the first two, move if necessary, compare the second two, move as necessary, compare the new first two, etc. Keep moving fruits left and comparing until in correct order","Same as for smaller pile. Compare the first two, move if necessary, compare the second two, move as necessary, compare the new first two, etc. Keep moving fruits left and comparing until in correct order","I did basically the same thing with both, but don't feel blue star really taught me anything",Strategy 2
c1_n61ezq97v8,"I just had to compare each fruit as it came, to the last most heavy and then down the line.",As it got bigger it made more sense to compare them next in line to the heaviest and then the lightest first to cut down on comparison. ,"I didn't use it at all, because the purple diamond didn't seem to do anything at all sorting wise.","I didn't use any strategies to use in star to diamond, I just didn't see the connection because it seemed like diamond wasn't actually doing anything. "
c1_qa2dm965v1,I JUST CHECK THROUGH MESUREMENT AND THEN PUT IT ON DECENDING ORDER. BUT COULDN'T DO IT AND ITS REALLY FRUSTRATING.,As i said i just put for example A and C and see if it goes upward or downward and then decide where to put but first i see which apple alphabet doesn't go upward so i put it on last and according to these i decide,i didn't use much of the image shown this. I had put my idea and doing the task but i failed to do it.,i had applied strategy 2 but little different as i said i first choose the apple which doesn't match with other apple and put it in last and according to that i was doing
c1_rT59O24PE3,I would pick one letter and try and find all the fruits greater than and less than that fruit. I would systematically order them by this method. ,I would do the same thing. Just pick one letter at a time and find the fruits greater or less than it and order it that way. ,I did not ,I did not
c1_sk2xQ1c759,I have no idea.,I have no idea.,I didn't use any information from that.,I didn't use any information from that.
c1_x5P10Ie87D,My approach was to weigh each fruit and arrange them by weight,I arrange them by weight in small groups first and then together,I just used the way they are to be arranged,Strategy 2
